rating,tel,name,url,price,hours,address,holiday
Bib Gourmand,TEL03-3754-8243,Tonkatsu Enraku,n/a,"PriceLunch = carte &yen950-2;,200Dinner = carte &yen1;,000-2,200","Opening hours, last ordersLunch = 11:00-14:30 (L.O.) or when the dayâ€™s stock runs outDinner = 17:00-21:00 (L.O.) or when the dayâ€™s stock runs out","6-1-4 Ikegami, Ota-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
Bib Gourmand,TEL03-3873-8826,Tempura Otsuka,n/a,"PriceLunch = menu &yen1;,080-5,180Dinner = menu &yen4;,100-6,260Seat charge = &yen500; (dinner)","Opening hours, last ordersLunch = Tuesday-Friday 11:30-13:00 (L.O.) or when the dayâ€™s stock runs outDinner = Monday-Friday 18:00-21:00 or when the dayâ€™s stock runs outSaturday 17:30-20:30","2-12-11 Iriya, Taito-ku, Tokyo","Annual and weekly closingClosed Sunday, Public Holidays and 1st & 3rd Monday of the month"
one star,TEL03-6380-5223,Kaiseki Ohara,n/a,"PriceLunch = menu &yen7;,560Dinner = menu &yen10;,800-16,200Service charge = 10%","Opening hours, last ordersLunch = Wednesday & Saturday 12:00-15:00 L.O.13:00Dinner = 18:00-22:30 L.O.20:00","2F, Nakabayashi Bldg, 1 Arakicho, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-3359-5830,Ogasawara Hakushakutei,URLhttp://www.ogasawaratei.com,"PriceLunch = menu &yen7;,560Dinner = menu &yen10;,800-16,200Service charge = 10%Private room fee = &yen10;,800","Opening hours, last ordersLunch = 11:30-15:00 L.O.13:00Dinner = 18:00-23:00 L.O.20:00","10-10 Kawadacho, Shinjuku-ku, Tokyo",n/a
two stars,TEL03-6432-0414,Okamoto,n/a,"PriceLunch = menu &yen14;,040-32,400Dinner = menu &yen21;,600-32,400Service charge = 10%","Opening hours, last ordersLunch = Tuesday, Thursday & Saturday 12:00 (L.O.)Dinner = 18:00-23:00 L.O.21:00","B1F, Succeed Toranomon, 5-2-8 Toranomon, Minato-ku, Tokyo",n/a
Bib Gourmand,TEL03-5315-4630,Yakitori Ogawa,n/a,"PriceDinner = menu &yen3;,500-5,000Seat charge = &yen500;","Opening hours, last ordersDinner = 17:00-23:30 L.O.22:30","1F, Wind Arakicho, 9-1 Arakicho, Shinjuku-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-3477-2648,Okina,n/a,"PriceDinner = menu &yen16;,200-27,000Service charge = 10%","Opening hours, last ordersDinner = 18:00-22:30 (L.O.)","B1F, Five Annex, 1-3-10 Ebisunishi, Shibuya-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
one star,TEL03-5537-3338,Ginza Okuda,URLhttp://www.ginzaokuda.com,"PriceLunch = menu &yen10;,800-17,000Dinner = menu &yen18;,300-22,600Service charge = 12%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-21:30 (L.O.)","B1F, Carioca Bldg, 5-4-8 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL03-3413-5520,Oguraya,URLhttp://shunsai-oguraya.com,"PriceDinner = menu &yen5;,400-10,800carte &yen4;,000-7,000Seat charge = &yen600; (Ã  la carte)","Opening hours, last ordersDinner = 18:00-1:00 L.O.24:00","2F, Lime Ikejiriohashi, 2-31-18 Ikejiri, Setagaya-ku, Tokyo",Annual and weekly closingClosed Sunday
Bib Gourmand,TEL03-6412-8212,Au Coin du Feu,URLhttp://aucoindufeu.jp,"PriceLunch = menu &yen2;,700-5,940Dinner = menu &yen5;,400-9,180carte &yen4;,000-8,000Seat charge = &yen540; (dinner)","Opening hours, last ordersLunch = 11:30-15:00 L.O.12:30 except MondayDinner = 18:30-23:30 L.O.22:30","1F, Pirouette, 2-7-2 Kamimeguro, Meguro-ku, Tokyo",Annual and weekly closingClosed Wednesday and 3rd Tuesday
one star,TEL03-3454-1682,Azabujuban Ozaki,n/a,"PriceLunch = menu &yen23;,220Dinner = menu &yen23;,220Service charge = 10%","Opening hours, last ordersLunch = 11:30-14:00 L.O.13:00Dinner = 17:30-24:00 L.O.22:00","3-4-5 Azabujuban, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-5454-8700,OstÃ_,URLhttp://www.ostu.jp,"PriceLunch = menu &yen3;,800-6,000Dinner = menu &yen7;,500carte &yen5;,000-7,000Seat charge = &yen500; (dinner)","Opening hours, last ordersLunch = Monday & weekends 12:00-14:30 L.O.13:00Dinner = 18:00-23:00 L.O.21:00","1F, Yoyogi Matsuura Bldg, 5-67-6 Yoyogi, Shibuya-ku, Tokyo",Annual and weekly closingClosed Wednesday
one star,TEL03-3801-4670,Obana,n/a,"PriceLunch = carte &yen4;,300-12,000Dinner = carte &yen4;,300-12,000","Opening hours, last ordersLunch = 11:30-13:30 or when the dayâ€™s stock runs outDinner = 16:00-19:30 or when the dayâ€™s stock runs out","5-33-1 Minamisenju, Arakawa-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-5436-3255,Ohara's,n/a,"PriceLunch = menu &yen3;,240-7,560Dinner = menu &yen7;,560-10,800Service charge = 10%","Opening hours, last ordersLunch = 11:30-15:00 L.O.13:30Dinner = 18:00-23:00 L.O.20:30","B1F, Yacmo Bldg, 5-4-18 Osaki, Shinagawa-ku, Tokyo",Annual and weekly closingClosed Monday and 3rd Tuesday
Bib Gourmand,TEL03-5300-6007,Ofuro,URLhttp://sei-ya.jp/ofuro,"PriceDinner = carte &yen4;,000-5,000Seat charge = &yen540;","Opening hours, last ordersDinner = 17:00-1:00 L.O.24:00Friday & Saturday 17:00-3:00 L.O.2:00","B1F, Anshindo Bldg, 4-45-10 Akatsutsumi, Setagaya-ku, Tokyo",Annual and weekly closingClosed Tuesday
two stars,TEL03-3874-1552,HommageRestaurant promoted from 1 to 2 stars or 2 to 3 stars,URLhttp://www.hommage-arai.com/,"PriceLunch = menu weekdays &yen3;,888-16,200weekends &yen6;,480-16,200Dinner = menu &yen10;,800-21,600Service charge = 10%","Opening hours, last ordersLunch = 11:30-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.)","4-10-5 Asakusa, Taito-ku, Tokyo","Annual and weekly closingClosed Monday (unless Public Holiday, then Tuesday)"
one star,TEL03-6252-4211,KM,URLhttp://www.km-french.jp,"PriceDinner = menu &yen12;,800-20,000Service charge = 10%","Opening hours, last ordersDinner = 18:00-22:00 L.O.20:00","6F, Iseyoshi Bldg, 8-8-19 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-3585-3030,Kagura,URLhttp://www.kagura-akasaka.com,"PriceLunch = menu &yen5;,400-17,280Dinner = menu &yen10;,800-17,280carte &yen10;,000-15,000Service charge = 10% (dinner)Private room fee = &yen5;,400-10,800","Opening hours, last ordersLunch = 11:30-14:00 L.O.13:30Dinner = 17:30-23:00 L.O.22:00","5-5-9 Akasaka, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday
one star,TEL03-5439-4110,Casa Vinitalia,URLhttp://www.vinitalia.jp/,"PriceDinner = menu &yen8;,100carte &yen6;,000-10,000","Opening hours, last ordersDinner = 17:30-24:00 (L.O.)Sunday 14:30-20:30 (L.O.)","2F, M Tower, 1-7-31 Minamiazabu, Minato-ku, Tokyo",Annual and weekly closingClosed Monday
one star,TEL03-3289-8988,Katsuzen,n/a,"PriceLunch = menu &yen3;,950-4,700carte &yen5;,000-10,000Dinner = menu &yen8;,000-12,600carte &yen8;,000-12,000Service charge = 10% (dinner)","Opening hours, last ordersLunch = 11:30-13:45 (L.O.)Dinner = 17:00-21:00 (L.O.)weekends 17:00-20:00 (L.O.)","4F, Kojun Bldg, 6-8-7 Ginza, Chuo-ku, Tokyo",Annual and weekly closingClosed Monday
two stars,TEL03-5772-2553,Kadowaki,n/a,"PriceDinner = menu &yen22;,680-54,000Service charge = 10%","Opening hours, last ordersDinner = 17:30-24:00 L.O.22:00","2-7-2 Azabujuban, Minato-ku, Tokyo",Annual and weekly closingClosed Sunday and Public Holidays
