rating,tel,name,,price,hours,address,LAT,LONG,holiday
Bib Gourmand,TEL075-361-4710,Eikichi,n/a,"Dinner Y3,000-5,000","Opening hours, last ordersDinner = 18:00-24:00 L.O.23:00","307 Tamatsushimacho, Shimogyo-ku, Kyoto",34.9988708,135.7583026,Annual and weekly closingClosed Wednesday
two stars,TEL075-525-1776,Gion Nishikawa,n/a,"Lunch Y5,400-21,600, Dinner Y16,200-32,400Service charge = 10%","Opening hours, last ordersLunch = Tuesday-Saturday 12:00 (L.O.)Dinner = 18:00-20:00 (L.O.)","473 Shimokawaracho, Shimokawara-dori Yasakatoriimae-sagaru, Higashiyama-ku, Kyoto",34.99977,135.779089,Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
Bib Gourmand,TEL075-321-8790,Soba Muraki,n/a,"Lunch Y850-2,500, Dinner = carte &yen850-2,500","Opening hours, last ordersLunch = 11:30-14:30 L.O.14:15 or when the day壽猻 stock runs out Dinner = Thursday-Monday 17:30-20:00 L.O.19:40 or when the day壽猻 stock runs out","5-1 Saiinhiramachi, Ukyo-ku, Kyoto",34.9998422,135.7316356,"Annual and weekly closingClosed last Thursday (unless Public Holiday, then last Friday) and Wednesday (unless Public Holiday, then Thursday)"
one star,TEL075-312-2538,Uozuya,n/a,"Dinner Y19,440-23,760","Opening hours, last ordersDinner = 17:00-22:00 L.O.20:30","Onmae Takatsuji-sagaru Nishigawa, Nakagyo-ku, Kyoto",35.0001054,135.7455171,Annual and weekly closingClosed Sunday
Bib Gourmand,TEL075-361-6630,La Table au Japon,http://www.latable-jpn.com/,"Lunch Y2,300-3,990, Dinner Y4,300-5,990","Opening hours, last ordersLunch = Thursday-Monday 11:45-15:00 L.O.13:30, Dinner = 18:00-23:00 L.O.20:30","Takatsuji-dori Gokomachi Nishi-iru Kitagawa, Shimogyo-ku, Kyoto",35.0001057,135.7662311,"Annual and weekly closingClosed Tuesday (unless Public Holiday, then Wednesday) and 2nd Wednesday (unless Public Holiday, then 2nd Thursday)"
two stars,TEL075-561-0330,Hamasaku,http://kyoto-gion-hamasaku.com,"Dinner Y29,160-54,000Service charge 10%","Opening hours, last ordersDinner = 17:00-20:30 (L.O.)","498 Shimokawaracho, Yasakatoriimae-sagaru, Gion, Higashiyama-ku, KyotoPlan to move from 2018 to : Nabeyacho Higashigawa, Pontocho Shijo-agaru, Nakagyo-ku, Kyoto",35.0002819,135.7804923,Annual and weekly closingClosed Wednesday and last Tuesday of each month
three stars,TEL075-561-0015,Kikunoi Honten,http://kikunoi.jp,"Lunch Y10,800-37,800, Dinner Y17,280-37,800Service charge = 15%","Opening hours, last ordersLunch = 11:30-13:00 (L.O.)Dinner = 17:00-20:00 (L.O.)","459 Shimokawaracho, Shimokawara-dori Yasakatoriimae-sagaru, Higashiyama-ku, Kyoto",35.0002819,135.7804923,n/a
Bib Gourmand,TEL075-343-1513,Otaya,http://otaya-kyoto.com/,"Lunch Y3,240-5,400, Dinner Y5,940-10,800carte &yen4,000-7,000Seat charge = &yen540; (淌 la carte)","Opening hours, last ordersLunch = 12:00-13:30 (L.O.)Dinner = 17:00-22:30 (L.O.)","456-2 Tenmacho, Nishikiyamachi-dori Takatsuji-kado, Shimogyo-ku, Kyoto",35.0003846,135.7688656,Annual and weekly closingClosed Monday
two stars,TEL075-351-3917,Wagokoro Izumi,n/a,"Lunch Y5,400-20,340, Dinner Y11,300-20,340","Opening hours, last ordersLunch = 12:00-14:30 L.O.13:00, Dinner = 18:00-21:30 L.O.19:30","634-3 Nioitenjincho, Karasuma Bukkoji Higashi-iru Hitosujimae Minami-iru, Shimogyo-ku, Kyoto",35.0004818,135.7602552,Annual and weekly closingClosed Monday
one star,TEL075-352-0001,Kinobu,http://www.kinobu.co.jp,"PriceLunch = menu&yen5,400-32,400weekends &yen12,960-32,400, Dinner Y16,200-32,400Service charge 15%","Opening hours, last ordersLunch = 11:30-15:30 L.O.13:30, Dinner = 17:00-22:00 L.O.19:30","416 Iwatoyamacho, Shinmachi-dori Bukkoji-sagaru, Shimogyo-ku, Kyoto",35.0008345,135.7566833,Annual and weekly closingClosed Wednesday
two stars,TEL075-533-3100,Kodaiji Wakuden,http://www.wakuden.jp,"Lunch Y20,000-45,000, Dinner Y30,000-45,000","Opening hours, last ordersLunch = 12:00-15:00 L.O.13:00, Dinner = 17:30-22:00 L.O.19:30","512 Washiocho, Kodaiji Kitamonzen, Higashiyama-ku, Kyoto",35.001752,135.7797409,Annual and weekly closingClosed Sunday except November-March
Bib Gourmand,TEL075-256-5053,Soba Sake Matsumoto,n/a,"Lunch Y1,000-3,000, Dinner = carte &yen1,000-3,000","Opening hours, last ordersLunch = 12:00-14:00 or when the day壽猻 stock runs outSunday 13:00-19:00 or when the day壽猻 stock runs outDinner = 16:00-23:00 or when the day壽猻 stock runs out","577 Nakanocho, Nakagyo-ku, Kyoto",35.0018882,135.7670134,Annual and weekly closingClosed Tuesday
one star,TEL075-533-6699,Yonemura,http://r-yonemura.jp/,"Lunch Y6,800-12,000, Dinner Y16,000","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 17:30-21:00 (L.O.)","481-1 Kiyoicho, Yasaka Toriimae-sagaru, Higashiyama-ku, Kyoto",35.0019928,135.7780647,Annual and weekly closingClosed Tuesday
one star,TEL075-551-8181,Akai,n/a,"Lunch Y16,200-21,600, Dinner Y21,600-32,400Service charge = 10% (private room 15%)","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.)","570-7 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.0020539,135.7742151,n/a
Bib Gourmand,TEL075-561-4346,Totoya Uocho,n/a,"Dinner Y3,000-5,000","Opening hours, last ordersDinner = 17:30-22:00 L.O.21:30","Ishidanshita-sagaru Sansujime-kado, Gion, Higashiyama-ku, Kyoto",35.0020956,135.7776206,Annual and weekly closingClosed Wednesday and Thursday
one star,TEL075-354-7177,Shun-ai Sasaki,n/a,"Lunch Y5,400-8,000, Dinner Y11,500","Opening hours, last ordersLunch = 12:00-14:30 L.O.13:30, Dinner = 18:00-21:30 L.O.19:30","582 Nakanocho, Teramachi-dori Bukkoji-agaru, Shimogyo-ku, Kyoto",35.002187,135.766652,n/a
two stars,TEL075-561-9990,Kenninji Gion Maruyama,http://www.gionmaruyama.com/,"Lunch Y6,480-43,200, Dinner Y16,200-43,200Service charge = 15%","Opening hours, last ordersLunch = 11:00-13:30 (L.O.)Dinner = 17:00-19:30 (L.O.)","Kenninji-minamigawa, Higashiyama-ku, Kyoto",35.002676,135.776026,n/a
one star,TEL075-551-3200,Gion Okada,n/a,"Dinner Y8,640-16,200carte &yen8,000-15,000Service charge = 7%","Opening hours, last ordersDinner = 17:00-24:00 L.O.22:30","570-6 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.0028202,135.7754464,Annual and weekly closingClosed Sunday and Public Holidays
Bib Gourmand,TEL075-321-7583,Wafu Dining Kasuga,n/a,"Dinner Y2,700-5,400carte &yen3,000-5,000Seat charge = &yen432; (淌 la carte)","Opening hours, last ordersDinner = 17:00-23:00 (L.O.)","17-1 Saiinmatsuicho, Ukyo-ku, Kyoto",35.0028641,135.7287747,n/a
two stars,TEL075-344-8000,Ogata,n/a,"Dinner Y27,000-37,800Service charge = 5%","Opening hours, last ordersDinner = 18:00-20:00 (L.O.)","726 Shinkamanzacho, Shijo-dori Shinmachi Nishi-iru Hitosujime Roji Minami, Shimogyo-ku, Kyoto",35.0028899,135.7557112,Annual and weekly closingClosed Monday
one star,TEL075-351-0555,Toriyasa,n/a,"PriceLunch/Dinner Y13,000","Opening hours, last ordersLunch/Dinner = 11:30-22:00 L.O.20:30","136 Saitocho, Kiyamachi Shijo-sagaru, Shimogyo-ku, Kyoto",35.0029677,135.7549993,n/a
Bib Gourmand,TEL075-561-0150,Gion Kitazato,n/a,"Dinner Y5,400-7,560carte &yen4,000-7,000Seat charge = &yen500; (淌 la carte)","Opening hours, last ordersDinner = 17:00-21:30 (L.O.)","570-120 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Tuesday
one star,TEL075-561-4848,Aji Fukushima,n/a,"Lunch Y4,320, Dinner Y10,800Service charge = 15% (dinner)","Opening hours, last ordersLunch = Tuesday-Saturday 11:30-13:00 (L.O.)Dinner = 17:00-20:00 (L.O.)","570 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Sunday and last Monday
one star,TEL075-561-2420,Gion Kawakami,http://gion-kawakami.co.jp,"Lunch Y4,100-10,800, Dinner Y14,000-21,600Service charge = 10%","Opening hours, last ordersLunch = 12:00-14:00 L.O.13:30, Dinner = 17:00-21:00 (L.O.)","570-122 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,n/a
one star,TEL075-525-2727,Gion Nishimura,http://www.gion-nishimura.com,"Dinner Y12,960-21,600Service charge = 15%","Opening hours, last ordersDinner = 17:00-20:00 (L.O.)","570-160 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Sunday
one star,TEL075-561-3338,Gion Matsudaya,n/a,"Lunch Y15,820-21,600, Dinner Y15,820-21,600","Opening hours, last ordersLunch = Sunday 12:00-14:00, Dinner = 18:00-23:00","570-123 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Monday
one star,TEL075-525-0115,Mokube,http://www.mokube.com,"Lunch Y5,400-8,640, Dinner Y9,720-16,200","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-19:30 (L.O.)","570-120 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Sunday
two stars,TEL075-551-5252,Gion Owatari,n/a,"Lunch Y16,200-18,000, Dinner Y16,200-18,000","Opening hours, last ordersLunch = 12:00-15:30 L.O.13:30, Dinner = 18:00-23:00 L.O.21:30","570-265 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,n/a
two stars,TEL075-525-5577,Maeda,n/a,"Dinner Y21,600Service charge = 5%","Opening hours, last ordersDinner = 18:00-20:30 (L.O.)","570-118 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Sunday
two stars,TEL075-525-0009,Gion Maruyama,http://www.gionmaruyama.com/,"Lunch Y6,480-43,200, Dinner Y16,200-43,200Service charge = 15%","Opening hours, last ordersLunch = 11:00-13:30 (L.O.)Dinner = 17:00-19:30 (L.O.)","Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Wednesday
two stars,TEL075-551-0117,Gion Matayoshi,http://www.gion-matayoshi.com,"Lunch Y8,700-32,400, Dinner Y17,280-32,400Service charge = 10%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.)","570-123 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,n/a
three stars,TEL075-561-2741,Itamaekappo Chihana,http://www.kyotochihana.com,"Lunch Y10,000-40,425Dinner Y15,015-40,425","Opening hours, last ordersLunch = 12:00-14:00, Dinner = 17:00-22:00","584 Gionmachi-minamigawa, Higashiyama-ku, Kyoto",35.003001,135.7761566,Annual and weekly closingClosed Tuesday except Public Holidays
two stars,TEL075-361-5580,Kikunoi Roan,http://kikunoi.jp,"Lunch Y4,320-27,000, Dinner Y14,040-27,000Service charge = 10-15%","Opening hours, last ordersLunch = 11:30-13:30 (L.O.)Dinner = 17:00-20:00 (L.O.)","118 Saitocho, Kiyamachi Shijo-sagaru, Shimogyo-ku, Kyoto",35.0030927,135.7706404,Annual and weekly closingClosed Wednesday
three stars,TEL075-551-3310,Mizai,n/a,"Dinner Y43,200Private room fee = &yen35,000","Opening hours, last ordersDinner = 17:30-22:00 L.O.18:00","613 Maruyamacho, Yasakatoriimae Higashi-iru, Higashiyama-ku, Kyoto",35.0031927,135.7824005,Annual and weekly closingClosed Wednesday and last day of the month
one star,TEL075-744-0299,Takamatsu,n/a,"Dinner Y10,800","Opening hours, last ordersDinner = 18:00-22:00 L.O.21:00","728 Shinkamazacho, Hitosujime-roji Minami, Shijo-dori Shinmachi Nishi-iru, Shimogyo-ku, Kyoto",35.003563,135.7323137,Annual and weekly closingClosed Wednesday
one star,TEL075-525-0768,Gion Namba,n/a,"Lunch Y5,400-16,200, Dinner Y8,640-16,200Service charge = 10%","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)Dinner = 17:00-22:00 (L.O.)","Shijo Hanami昣躱ji Higashi-iru, Higashiyama-ku, Kyoto",35.003563,135.7323137,n/a
Bib Gourmand,TEL075-221-6816,Pontocho Masuda,n/a,"Dinner Y7,560carte &yen4,000-7,000Seat charge = &yen540; (淌 la carte )","Opening hours, last ordersDinner = 17:00-22:00","Pontocho Shijo-agaru, Nakagyo-ku, Kyoto",35.003596,135.747585,Annual and weekly closingClosed Sunday
one star,TEL075-551-9966,Gion Uokeya U,http://www.yagenbori.co.jp/tenpo/u,"Lunch Y8,800-10,000carte &yen3,250-9,000, Dinner Y8,800-10,000carte &yen3,250-9,000","Opening hours, last ordersLunch = 11:30-14:00 (L.O.)Dinner = 17:00-21:00 L.O.20:00","Nishihanamikoji Shijo-sagaru, Gion, Higashiyama-ku, Kyoto",35.0038276,135.7730827,Annual and weekly closingClosed Monday except Public Holidays
Bib Gourmand,TEL075-551-3409,Gion Yorozuya,n/a,"Lunch Y750-1,700, Dinner = carte &yen750-1,700","Opening hours, last ordersLunch = 12:00-15:00 (L.O.)嬠踥r when the day壽猻 stock runs outSunday & Public Holidays 12:00-16:00 (L.O.)嬠踥r when the day壽猻 stock runs outDinner = Monday-Saturday 17:30-19:30 (L.O.)嬠踥r when the day壽猻 stock runs out","Hanamikoji Shijo-sagaru Futasujime Nishi-iru, Higashiyama-ku, Kyoto",35.0038462,135.7750597,n/a
Bib Gourmand,TEL075-561-1004,Gion Umenoi Tosembo,http://umenoi.jp,"Lunch Y5,400carte &yen2,754-6,000, Dinner Y7,560-14,040carte &yen2,754-6,000Service charge = 10% (private room 15%)","Opening hours, last ordersLunch = 11:30-14:00 L.O.13:30, Dinner = 17:30-21:00 L.O.19:30","Maruyama Park, Gionmachi-kitagawa, Higashiyama-ku, Kyoto",35.0038803,135.7809168,Annual and weekly closingClosed Wednesday
one star,TEL075-531-1500,Hana-Kitcho,http://www.kitcho.com/,"Lunch Y6,480-27,000carte &yen10,000-15,000, Dinner Y12,960-27,000carte &yen10,000-15,000Service charge = 10%","Opening hours, last ordersLunch = 11:30-15:00 L.O.14:00, Dinner = 17:00-22:00 L.O.20:00","Yamatooji Shijo-sagaru, Higashiyama-ku, Kyoto",35.0039708,135.7720929,Annual and weekly closingClosed Wednesday
Bib Gourmand,TEL075-741-8070,L蘝nka,http://www.lanka-vin.com,"Lunch Y2,700-4,104Dinner Y4,104-6,264carte &yen4,000-6,000","Opening hours, last ordersLunch = 12:00-15:00 L.O.13:45 except FridayDinner = 18:00-23:00 L.O.21:00","2F, Harenohi Kayukoji Bldg, 565-23 Nakanocho, Shinkyogoku Shijo-agaru, Nakagyo-ku, Kyoto",35.004034,135.767514,Annual and weekly closingClosed Thursday and 2nd Wednesday except Public Holidays
two stars,TEL075-561-6790,Kappo Chihiro,n/a,"Lunch Y12,960-19,440, Dinner Y12,960-19,440Service charge = 10%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 17:00-20:30 (L.O.)","279-8 Gionmachi-kitagawa, Higashiyama-ku, Kyoto",35.0042264,135.7761854,Annual and weekly closingClosed Monday
one star,TEL075-531-8112,Aji Rakuzan,n/a,"Dinner Y11,000","Opening hours, last ordersDinner = 18:00-23:00 L.O.20:00","109-2 Tominagacho, Higashiyama-ku, Kyoto",35.0044037,135.7738401,n/a
Bib Gourmand,TEL075-241-9144,Trattoria Mamma di Boo,http://www.mamma-di-boo.com,"Lunch Y1,950-3,050, Dinner Y3,240-4,860","Opening hours, last ordersLunch = weekends 11:30-14:00 (L.O.)Dinner = 17:30-21:30 (L.O.)","434-4 Komusubidanacho, Shinmachi-dori Nishikikoji-sagaru, Nakagyo-ku, Kyoto",35.0044925,135.7564444,Annual and weekly closingClosed Wednesday
Bib Gourmand,TEL075-221-5118,Shutei Bankara,n/a,"Dinner Y3,500-5,000Seat charge = &yen648;","Opening hours, last ordersDinner = 17:30-22:30 L.O.22:00","209-8 Nabeyacho, Pontocho-dori Shijo-agaru, Nakagyo-ku, Kyoto",35.004537,135.771157,Annual and weekly closingClosed Tuesday
one star,TEL075-213-1326,Jiki Miyazawa,http://www.jiki-miyazawa.com,"Lunch Y3,780-7,560, Dinner Y7,560-16,200Service charge = 10% (dinner)","Opening hours, last ordersLunch = 12:00-15:30 L.O.13:45Dinner = 18:00-22:00 L.O.20:00","553-1 Yaoyacho, Sakaimachi-dori Shijo-agaru, Nakagyo-ku, Kyoto",35.0045536,135.7632855,Annual and weekly closingClosed Thursday and 1st Wednesday
Bib Gourmand,TEL075-213-5563,B L泰gumes 淌 Table,http://www.b-legumes-a-table.com,"Lunch Y2,500-5,000, Dinner Y2,500-6,500","Opening hours, last ordersLunch = 11:30-15:00 L.O.14:00, Dinner = 17:30-23:00 L.O.21:00","1F, Takeuchi Bldg, 559-1 Fujimotocho, Shijo Aburanokoji-agaru Sankenme, Nakagyo-ku, Kyoto",35.0046064,135.7535419,Annual and weekly closingClosed Monday and 3rd Sunday
one star,TEL075-531-2421,Gion Rikichi,n/a,"Lunch Y5,400-12,960, Dinner Y8,640-12,960","Opening hours, last ordersLunch = 11:30-15:00, Dinner = 17:30-22:00","95 Sueyoshicho, Gion, Higashiyama-ku, Kyoto",35.0048665,135.7737757,n/a
two stars,TEL075-561-3984,Kappo Hassun,n/a,"Lunch Y10,800, Dinner Y21,600","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 17:30-20:00 (L.O.)","95 Sueyoshicho, Gion, Higashiyama-ku, Kyoto",35.0048665,135.7737757,Annual and weekly closingClosed Sunday
one star,TEL075-551-2303,Kyoboshi,n/a,"Dinner Y12,960","Opening hours, last ordersDinner = 18:00-22:00 L.O.20:00","1F, Futaba Bldg, Hanamikoji Sueyoshicho Higashi-iru, Gion, Higashiyama-ku, Kyoto",35.0050592,135.7735679,Annual and weekly closingClosed Sunday
one star,TEL075-551-2136,Kappo Sakamoto,http://www.gion-sakamoto.com,"Lunch Y5,400-21,600carte &yen15,000-30,000, Dinner Y14,040-21,600carte &yen15,000-30,000Service charge = 10%","Opening hours, last ordersLunch = 12:00-14:00 L.O.13:30, Dinner = 17:00-22:00 L.O.21:00","1F, EF Bldg, Yamatooji Higashi, Sueyoshicho, Gion, Higashiyama-ku, Kyoto",35.0050592,135.7735679,n/a
one star,TEL075-525-3327,Ogawa,n/a,"Lunch Y6,000-9,000, Dinner Y16,000","Opening hours, last ordersLunch = 12:00-14:30 L.O.12:30, Dinner = 18:00-24:00 L.O.22:00","347-51 Gionmachi-kitagawa, Higashiyama-ku, Kyoto",35.00522,135.775584,Annual and weekly closingClosed Sunday
one star,TEL075-525-2160,Oryori Mashita,http://kyoto-mashita.com,"Lunch Y4,860-21,600, Dinner Y7,560-21,600Service charge = 5% (private room 10%)","Opening hours, last ordersLunch = 11:30-13:30 (L.O.)Dinner = 17:00-19:30 (L.O.)","246 Gionmachi-kitagawa, Higashiyama-ku, Kyoto",35.005298,135.7766704,Annual and weekly closingClosed Thursday
two stars,TEL075-531-5311,Keiraku Nikuryori Isshin,n/a,"Dinner Y12,900Service charge = 5% ","Opening hours, last ordersDinner = 18:00-22:30 L.O.19:30","51 Motoyoshicho, Shinbashi-dori, Gion, Higashiyama-ku, Kyoto",35.0059202,135.7734623,Annual and weekly closingClosed Monday
one star,TEL075-223-3120,La Famille Morinaga,http://www.famille-morinaga.jp,"Lunch Y4,860, Dinner Y9,180Service charge = 10%","Opening hours, last ordersLunch = 11:30-13:30 (L.O.)Dinner = 18:00-20:00 (L.O.)","175-5 Fudocho, Takoyakushi-dori Shinmachi Nishi-iru, Nakagyo-ku, Kyoto",35.0061257,135.7555806,Annual and weekly closingClosed Sunday and Monday
Bib Gourmand,TEL075-212-3303,Ippin Hashinaga,http://www.kyoto-hashinaga.com,"Lunch Y2,200-3,500, Dinner Y4,000-8,000","Opening hours, last ordersLunch = 11:30-14:00 L.O.13:00, Dinner = 17:30-22:00 L.O.20:00","1F, Matsumoto Bldg, 323 Sensojicho Takoyakushi-dori Takakura Nishi-iru, Nakagyo-ku, Kyoto",35.0061516,135.7625949,Annual and weekly closingClosed Tuesday
one star,TEL075-561-8024,Tozentei,n/a,"Lunch Y5,400-21,600, Dinner Y7,560-21,600","Opening hours, last ordersLunch = Tuesday-Saturday 12:00-14:00 L.O.13:00, Dinner = 18:00-22:30 L.O.20:30","227-3 Nishinocho, Shinmonzen-dori Yamatooji-dori Higashi-iru, Higashiyama-ku, Kyoto",35.0064701,135.7729513,Annual and weekly closingClosed Sunday and Public Holiday Mondays
Bib Gourmand,TEL075-221-1061,Renkonya,n/a,"Dinner Y4,000-5,000","Opening hours, last ordersDinner = 17:00-23:30 L.O.23:00","236 Yamazakicho, Nishikiyamachi-dori Sanjo-sagaru, Nakagyo-ku, Kyoto",35.006759,135.7690099,Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
one star,TEL075-525-2901,Igarashi,n/a,"Dinner Y16,200-22,680Service charge = 8%","Opening hours, last ordersDinner = 16:30-21:00 (L.O.)","295-4 Ishibashicho, Chion-in mae Higashi-iru, Higashiyama-ku, Kyoto",35.007009,135.7776564,Annual and weekly closingClosed April-early October
Bib Gourmand,TEL075-211-0784,Nanaharu,n/a,"Dinner Y3,500-5,500Seat charge = &yen540;","Opening hours, last ordersDinner = 18:00-22:30","Nishikiyamachi Rokkaku Nishi-iru Kitagawa, Nakagyo-ku, Kyoto",35.0071876,135.7285752,Annual and weekly closingClosed Wednesday
Bib Gourmand,TEL075-221-0669,Kyogoku Kaneyo,http://www.kyogokukaneyo.co.jp/,"Lunch Y1,400-7,000Sunday & Public Holidays &yen2,300-7,000, Dinner = carte &yen2,300-7,000","Opening hours, last ordersLunch = 11:30-14:00, Dinner = 14:00-21:00 L.O.20:30","456 Matsugaecho, Rokkaku-dori, Shinkyogoku Higashi-iru, Nakagyo-ku, Kyoto",35.00752,135.7682128,n/a
Bib Gourmand,TEL075-222-0054,Kushitanaka,n/a,"Dinner Y4,100","Opening hours, last ordersDinner = 17:30-20:00嬠�:00-22:30","310-10 Uradeyamacho, Nishikikoji-dori Karasuma Nishi-iru-sagaru, Nakagyo-ku, Kyoto",35.0083172,135.7285638,"Annual and weekly closingClosed Monday except Public Holidays, and Tuesday except Public Holidays"
three stars,TEL075-231-6355,IidaRestaurant promoted from 1 to 2 stars or 2 to 3 stars,n/a,"Dinner Y21,600-37,800Service charge 10%","Opening hours, last ordersDinner = 18:00-23:00 L.O.20:00","120-1 Fukunagacho, Aneyakoji Tominokoji Nishi-iru Minamigawa, Nakagyo-ku, Kyoto",35.0083172,135.7285638,n/a
Bib Gourmand,TEL075-255-1103,Tsutsumi,n/a,"Dinner Y4,104-7,560","Opening hours, last ordersDinner = 18:00-23:00","1F, Site Karasuma Sanjocho, 327 Sanjocho, Shinmachi-dori Sanjo-sagaru, Nakagyo-ku, Kyoto",35.0083478,135.7567665,Annual and weekly closingClosed Monday
one star,TEL075-223-3002,Ac塘 1濉,http://www.aca-kyoto.jp,"Lunch Y12,960, Dinner Y12,960Service charge = 8%","Opening hours, last ordersLunch = 12:00-13:00 (L.O.)Dinner = 18:00-21:00 (L.O.)","2F, Sanjotakakura Shiratori Bldg, 55 Masuyacho, Nakagyo-ku, Kyoto",35.008464,135.762255,Annual and weekly closingClosed Sunday except before a Public Holiday and Public Holiday Mondays
