rating,name,address,hours,holiday,price,url,tel
one star,Utsubohommachi Gaku,"1F, 1-14-15 Utsubohonmachi, Nishi-ku, Osaka",Lunch = 11:30-14:30Dinner = 17:00-23:00,Closed Sunday and Public Holidays,"Lunch = ¥5,500-16,000Dinner = ¥8,000-16,000",https://www.utsubo-gaku.com/,06-6479-3459
one star,Utsubohommachi Gaku,"1F, 1-14-15 Utsubohonmachi, Nishi-ku, Osaka",Lunch = 11:30-14:30Dinner = 17:00-23:00,Closed Sunday and Public Holidays,"Lunch = ¥5,500-16,000Dinner = ¥8,000-16,000",https://www.utsubo-gaku.com/,06-6479-3459
two stars,Kasho,"7-20 Kogicho, Kaizuka",Lunch = 12:00-14:30Dinner = 17:00-22:00,n/a,"Lunch = ¥13,000-27,000Dinner = ¥13,000-27,000",n/a,072-438-8739
three stars,Kashiwaya,"2-5-18 Senriyamanishi, Suita",Lunch = 12:00-13:00 (L.O.)Dinner = 18:00-19:30 (L.O.),Closed Sunday,"Lunch = ¥13,000-37,000Dinner = ¥20,000-37,000",https://jp-kashiwaya.com/senriyama/,06-6386-2234
two stars,Kahala,"2F, Kishimoto Bldg, 1-9-2 Sonezakishinchi, Kita-ku, Osaka","Dinner = 18:00-20:30, 20:40-23:30","Closed 3rd Monday of the month, Sunday and Public Holidays","Dinner = ¥28,000",n/a,06-6345-6778
two stars,Kitahachi,"24-14 Gokenyamachi, Kishiwada",Dinner = 17:00-22:00 L.O.19:00,"Closed from May to September, and Tuesday","Dinner = ¥17,000-28,000",n/a,072-422-3929
one star,Kitamura,"1-16-27 Higashishinsaibashi, Chuo-ku, Osaka",Dinner = 16:00-22:00,Closed Sunday and Public Holidays,"Dinner = ¥10,000-11,000",n/a,06-6245-4129
two stars,Koryu,"1-5-1 Dojima, Kita-ku, Osaka",Lunch = 12:00-13:00 (L.O.)Dinner = 18:00-21:30(L.O.),Closed Sunday and Public Holidays,"Lunch = ¥20,000-22,000Dinner = ¥20,000-22,000",http://www.koryu.net/,06-6347-5660
one star,Convivialité,"1-17-17 Shinmachi, Nishi-ku, Osaka",Lunch = 11:30-14:00 (L.O.)Dinner = 18:00-21:00 (L.O.),Closed Thursday,"Lunch = ¥6,500-9,500Dinner = &yen9,500-15,000",https://www.convivialite.info/,06-6532-4880
Bib Gourmand,Santa Lucia,"1-9-17 Kyomachibori, Nishi-ku, Osaka",Lunch = 11:00-14:30 (L.O.)Dinner = 18:00-21:30 (L.O.),n/a,"Lunch = ¥1,000-3,000Dinner = ¥4,000-6,000",http://www.santalucia-z.com/,06-6444-8881
two stars,Shunsaiten Tsuchiya,"41-4 Toyotsucho, Suita",Lunch = Tuesday-Saturday 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Sunday,"Lunch = ¥8,000-25,000Dinner = ¥12,000-25,000",http://www.shunsaiten-tsuchiya.com/,06-6338-2288
one star,Shunzentamuzake Soan,"2F, Wako Bldg, 5-31 Soemoncho, Chuo-ku, Osaka",Dinner = 17:30-23:00 L.O.22:00,Closed Sunday and Public Holiday Mondays,"Dinner = ¥7,000",n/a,06-6213-1541
one star,Shunsenwaraku Sanai,"1F, NIPPO Seven Center Bldg, 2-2-11 Higashishinsaibashi, Chuo-ku, Osaka",Dinner = 17:30-0:30 L.O.23:00,Closed Sunday,"Dinner = ¥8,000-13,000",n/a,06-6214-0371
one star,Sushi Jinsei,"2-1-3 Shinsaibashisuji, Chuo-ku, Osaka","Dinner = 18:00-20:20, 20:30-22:50Saturday 15:30-17:50, 18:00-20:20, 20:30-22:50",Closed Sunday,"Dinner = ¥28,000",n/a,090-8124-5536
one star,Shintaro,"2-5-5 Nishitemma, Kita-ku, Osaka",Lunch = Sunday-Friday 11:30-14:00 L.O.13:30Dinner = 17:00-21:00 L.O.20:00,"Closed Saturdays in August, Sunday and Public Holidays","Lunch = ¥3,000-6,000Dinner = ¥10,000",n/a,06-6361-5293
one star,Shintaro,"2-5-5 Nishitemma, Kita-ku, Osaka",Lunch = Sunday-Friday 11:30-14:00 L.O.13:30Dinner = 17:00-21:00 L.O.20:00,"Closed Saturdays in August, Sunday and Public Holidays","Lunch = ¥3,000-6,000Dinner = ¥10,000",n/a,06-6361-5293
two stars,Sushiyoshi,"2-3-23 Minamimorimachi, Kita-ku, Osaka",Dinner = 18:00-23:00,n/a,"Dinner = ¥30,000",n/a,06-6361-0062
two stars,Sushiyoshi,"2-3-23 Minamimorimachi, Kita-ku, Osaka",Dinner = 18:00-23:00,n/a,"Dinner = ¥30,000",n/a,06-6361-0062
three stars,Taian,"1F, Yamamotomatsu Bldg, 1-21-2 Shimanouchi, Chuo-ku, Osaka",Dinner = 17:30-22:00 L.O.21:00,Closed Monday,"Dinner = ¥20,000",n/a,06-6120-0790
Bib Gourmand,Tavernetta da Kitayama,"4-3-12 Kitakyuhojimachi, Chuo-ku, Osaka",Lunch = 11:30-14:00 (L.O.)Dinner = 18:00-22:00 (L.O.),Closed Sunday,"Lunch = ¥1,000-2,000Dinner = ¥5,000-7,000",http://tavernettadakitayama.com/,06-6251-3376
one star,Soba Takama,"7-12-14 Tenjimbashi, Kita-ku, Osaka",Lunch = 11:30-14:30 or when the day's stock runs out,Closed Tuesday,"Lunch = ¥1,000-4,000",n/a,06-6882-8844
two stars,Yunagibashi Takoyasu,"1-15-5 Yunagi, Minato-ku, Osaka",Lunch/Dinner = 11:00-22:00,n/a,"Lunch/Dinner = ¥23,000-34,000",n/a,06-6571-1525
two stars,Yunagibashi Takoyasu,"1-15-5 Yunagi, Minato-ku, Osaka",Lunch/Dinner = 11:00-22:00,n/a,"Lunch/Dinner = ¥23,000-34,000",n/a,06-6571-1525
Bib Gourmand,Taverna la Chiave,"1-14-14 Nakatsu, Kita-ku, Osaka",Lunch = Wednesday-Thursday 12:00-14:00 L.O.13:30Dinner = 18:00-22:00 (L.O.),Closed Monday and 1st & 3rd Sunday of the month,"Lunch = Under ¥1,500Dinner = ¥4,000-7,000",https://www.chiave-italia.com/,06-6375-2554
one star,Différence,"1-16-12 Utsubohonmachi, Nishi-ku, Osaka",Lunch = 12:00-13:30 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Tuesday,"Lunch = ¥6,000Dinner = ¥14,000",http://difference.upper.jp/,06-6479-1140
one star,Différence,"1-16-12 Utsubohonmachi, Nishi-ku, Osaka",Lunch = 12:00-13:30 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Tuesday,"Lunch = ¥6,000Dinner = ¥14,000",http://difference.upper.jp/,06-6479-1140
three stars,Hajime,"1F, i Place 1-9-11 Edobori, Nishi-ku, Osaka",Dinner = 17:30-20:30 (L.O.),n/a,"Dinner = ¥39,000-53,000",http://www.hajime-artistes.com/,06-6447-6688
one star,Kappo Hashimoto,"1-15-27 Nakatsu, Kita-ku, Osaka",Dinner = 17:30-22:00 L.O.21:30,Closed Sunday and Public Holidays,"Dinner = ¥7,000-13,000",n/a,06-6373-3655
two stars,Sushi Harasho,"3-30 Uenomiyacho, Tennoji-ku, Osaka","Lunch = 11:30-14:00Dinner = 17:30-20:20, 20:30-22:30","Closed Sunday, Public Holiday Mondays and Wednesday","Lunch = ¥17,000Dinner = ¥17,000",n/a,06-6773-5518
one star,Hiraishi,"3F, Hishitomi Bldg, 1-9-6 Sonezakishinchi, Kita-ku, Osaka",Dinner = 17:00-23:00 L.O.22:00,Closed Sunday and Public Holidays,"Dinner = ¥16,000",n/a,06-6341-7172
one star,Sushidokoro Hirokawa,"2F, 3-7-17 Higashinodamachi, Miyakojima-ku, Osaka",Dinner = 18:00-21:00 (L.O.),"Closed Sunday, 1st Monday and Public Holiday Mondays","Dinner = ¥14,000-16,000",n/a,06-6357-2098
two stars,Fujiya 1935,"2-4-14 Yariyamachi, Chuo-ku, Osaka",Lunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Sunday,"Lunch = ¥12,000Dinner = ¥20,000",http://fujiya1935.com/,06-6941-2483
one star,Sushi Hoshiyama,"3F, Taniyasurowa Bldg, 1-9-9 Sonezakishinchi, Kita-ku, Osaka",Dinner = 17:30-23:00 L.O.21:00,Closed Tuesday,"Dinner = ¥20,000-24,000",n/a,06-6344-1128
Bib Gourmand,Porta Nuova,"1F, Maison d'Art, 1-16-19 Utsubohonmachi, Nishi-ku, Osaka",Lunch = 11:30-15:00 L.O.14:00 Dinner = 17:30-23:00 L.O.22:00,Closed Tuesday,"Lunch = ¥1,000-3,000Dinner = ¥3,000-4,000",https://portanuova.jimdo.com/,06-6449-5688
two stars,Honkogetsu,"1-7-11 Dotombori, Chuo-ku, Osaka",Dinner = 17:00-22:00 L.O.20:00,Closed Sunday,"Dinner = ¥31,000",n/a,06-6211-0201
one star,Kaiseki Honda,"3F, BRAVI Soemoncho, 3-7 Soemoncho, Chuo-ku, Osaka",Lunch = 12:00-15:00 L.O.13:30Dinner = 18:00-23:00 L.O.21:00,Closed Sunday and Public Holidays,"Lunch = ¥5,500-17,000Dinner = ¥14,000-17,000",https://kaiseki-honda.com/,06-6212-4747
two stars,Masuda,"2F, Tagoto Plaza, 1-3-12 Shinsaibashisuji, Chuo-ku, Osaka",Lunch = 11:30-14:00 L.O.13:00Dinner = 18:00-22:00 L.O.20:00,Closed Sunday and Public Holidays,"Lunch = ¥3,500-14,000Dinner = ¥11,000-15,000",n/a,06-6251-5077
Bib Gourmand,Macelleria di Takeuchi,"5-8-17 Fukushima, Fukushima-ku, Osaka",Dinner = 18:00-1:30 (L.O.)Sunday 17:00-22:30 (L.O.),Closed Monday,"Dinner = ¥3,000-5,000",https://www.takeuchi-italia.jp/macelleria_di_takeuchi,06-6455-2977
one star,Man-u,"5F, Saka Bldg, 1-2-33 Dojima, Kita-ku, Osaka",Dinner = 17:00-21:30 (L.O.),Closed Sunday and Public Holidays,"Dinner = ¥16,000",http://www.kagaman.co.jp/shop/manu/,06-6341-5555
one star,Sushi Minazuki,"1F, Mori Bldg, 1-5-7 Sonezakishinchi, Kita-ku, Osaka",Dinner = 18:00-23:00 (L.O.),Closed Sunday and Public Holidays,"Dinner = ¥17,000-22,000",n/a,06-6342-1556
two stars,Miyamoto,"2-10-28 Higashitemma, Kita-ku, Osaka",Dinner = 18:00-22:30 L.O.20:30,n/a,"Dinner = ¥19,000",n/a,06-6809-6990
one star,Yuno,"1F, Arche11 Bldg, 1-10-35 Nishi-Shinsaibashi, Chuo-ku, Osaka",Dinner = 17:30-22:30 L.O.20:30,Closed Monday,"Dinner = ¥17,000-25,000",n/a,06-6281-3690
one star,Yoshiko,"1-8-5 Sonezakishinchi, Kita-ku, Osaka",Dinner = 17:30-23:00 L.O.21:00,Closed from June to August,"Dinner = ¥28,000-37,000",n/a,06-6345-6696
one star,Yoshino,"2-28-3 Nakasakurazuka, Toyonaka",Lunch = 12:30-14:30 L.O.13:00Dinner = 18:00-22:00 L.O.20:30,n/a,"Lunch = ¥5,500-11,000Dinner = ¥8,000-14,000",n/a,06-6850-7883
one star,Rakushin,"1-6-14 Fukushima, Fukushima-ku, Osaka",Lunch = 11:30-13:30 (L.O.)Dinner = 17:30-21:00 (L.O.),n/a,"Lunch = ¥6,000Dinner = ¥20,000",n/a,06-6451-2323
two stars,La Cime,"3-2-15 Kawaramachi, Chuo-ku, Osaka",Lunch = 12:00-15:30 L.O.13:00Dinner = 18:30-23:00 L.O.20:00,Closed Sunday,"Lunch = ¥9,500Dinner = ¥20,000",http://www.la-cime.com/,06-6222-2010
Bib Gourmand,La Tortuga,"1-5-22 Koraibashi, Chuo-ku, Osaka",Lunch = 12:00-14:00 (L.O.)weekends 12:00-20:00 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Tuesday and Wednesday,"Lunch = ¥5,000-7,000Dinner = ¥5,000-7,000",n/a,06-4706-7524
Bib Gourmand,La Bonne Tâche,"4-1-18 Nishitemma, Kita-ku, Osaka",Dinner = 18:00-23:00,Closed Sunday,"Dinner = ¥5,500-7,000",n/a,06-6312-1777
one star,Lumière,"3F, Unagidani Block Bldg , 1-19-15 Higashishinsaibashi, Chuo-ku, Osaka","Lunch = Wednesday, Thursday & weekdays 11:30-15:00 L.O.14:00Dinner = 17:30-22:30 L.O.21:00","Closed Monday (unless Public Holiday, then Tuesday)","Lunch = ¥4,500-8,000Dinner = ¥9,500-25,000",http://k-coeur.com/,06-6251-4006
one star,Lumière,"3F, Unagidani Block Bldg , 1-19-15 Higashishinsaibashi, Chuo-ku, Osaka","Lunch = Wednesday, Thursday & weekdays 11:30-15:00 L.O.14:00Dinner = 17:30-22:30 L.O.21:00","Closed Monday (unless Public Holiday, then Tuesday)","Lunch = ¥4,500-8,000Dinner = ¥9,500-25,000",http://k-coeur.com/,06-6251-4006
Bib Gourmand,Le Caneton,"2-6-23 Uehonmachinishi, Chuo-ku, Osaka",Lunch = 11:30-13:30 (L.O.)Dinner = 18:00-20:30 (L.O.),Closed Monday,"Lunch = ¥4,000-6,500Dinner = ¥5,000-9,000",http://www.le-caneton.com/,06-6761-1717
one star,Le Pont de Ciel,"1F, Le Pont de Ciel Bldg, 6-9 Kitahamahigashi, Chuo-ku, Osaka",Lunch = 11:30-13:30 (L.O.)Dinner = 17:30-22:00 L.O.20:30,"Closed Sunday, Monday and Public Holidays","Lunch = ¥4,500-13,000Dinner = ¥13,000-27,000",http://www.pont-de-ciel.co.jp/,06-6947-0888
one star,Le Pont de Ciel,"1F, Le Pont de Ciel Bldg, 6-9 Kitahamahigashi, Chuo-ku, Osaka",Lunch = 11:30-13:30 (L.O.)Dinner = 17:30-22:00 L.O.20:30,"Closed Sunday, Monday and Public Holidays","Lunch = ¥4,500-13,000Dinner = ¥13,000-27,000",http://www.pont-de-ciel.co.jp/,06-6947-0888
one star,Wagen,"1F, Yotsubashichuo Bldg, 1-6-12 Kitahorie, Nishi-ku",Dinner = 17:00-21:00 (L.O.),Closed Wednesday and last day of the month,"Dinner = ¥11,000-16,000",http://wagen.hp4u.jp/,06-6532-0873
Bib Gourmand,Aozora Blue,"4-5-8 Hiranomachi, Chuo-ku, Osaka",Lunch = 11:30-14:30 (L.O.)Dinner = 17:30-22:00 (L.O.)Saturday and Public Holidays 17:30-21:00 (L.O.) or when the day's stock runs out,Closed Sunday,"Lunch = Under ¥1,500Dinner = ¥1,000-5,000",http://www.aozora.blue/,06-4708-8812
Bib Gourmand,Aozora Blue,"4-5-8 Hiranomachi, Chuo-ku, Osaka",Lunch = 11:30-14:30 (L.O.)Dinner = 17:30-22:00 (L.O.)Saturday and Public Holidays 17:30-21:00 (L.O.) or when the day's stock runs out,Closed Sunday,"Lunch = Under ¥1,500Dinner = ¥1,000-5,000",http://www.aozora.blue/,06-4708-8812
Bib Gourmand,Atariya,"5-11-22 Higashimikuni, Yodogawa-ku, Osaka",Lunch = 11:30-14:30 L.O.14:15Dinner = 18:00-22:00 L.O.21:30,Closed Tuesday,"Lunch = ¥1,000-5,000Dinner = ¥1,000-5,000",http://www.atariyasoba.com/,06-6391-8585
one star,Ad Hoc,"Hotarumachi, 1-1-48 Fukushima, Fukushima-ku, Osaka",Lunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Wednesday,"Lunch = ¥6,500Dinner = ¥14,000",http://adhoc2014.jp/,06-6225-8814
one star,Ad Hoc,"Hotarumachi, 1-1-48 Fukushima, Fukushima-ku, Osaka",Lunch = 12:00-13:00 (L.O.)Dinner = 18:00-20:00 (L.O.),Closed Wednesday,"Lunch = ¥6,500Dinner = ¥14,000",http://adhoc2014.jp/,06-6225-8814
Bib Gourmand,Sobakiri Arabompu,"4-1-11 Nishitemma, Kita-ku, Osaka",Lunch = 11:30-15:00 or when the day’s stock runs outDinner = Thursday & Friday 17:30-20:00 or when the day’s stock runs out,Closed Tuesday,"Lunch = ¥1,000-3,000Dinner = ¥1,000-3,000",n/a,06-6315-6767
Bib Gourmand,Sobakiri Imose,"2-9-2 Tamatsukuri, Chuo-ku, Osaka",Lunch = 11:30-14:00 (L.O.) or when the day's stock runs outDinner = 17:30-20:00 (L.O.) or when the day's stock runs out,Closed Monday and Tuesday,"Lunch = ¥1,000-3,000Dinner = ¥1,000-3,000",n/a,06-6762-5147
Bib Gourmand,Nihonshuzammai Utsutsuyo,"2F, 3-2-1 Hommachi, Chuo-ku, Osaka",Dinner = 17:30-23:00,Closed Sunday and Public Holiday Mondays,"Dinner = ¥5,000-8,000",http://www.ututuyo.com/,06-6281-8322
Bib Gourmand,Unagiya,"4-5-22 Nishinakajima, Yodogawa-ku, Osaka",Lunch = 11:00-17:00 or when the day’s stock runs outSaturday 11:00-19:00 or when the day's stock runs out,"Closed Sunday, Monday and Public Holidays","Lunch = ¥4,000-9,000",n/a,06-6302-7200
Bib Gourmand,Omoni,"3-3-2 Momodani, Ikuno-ku, Osaka",Lunch/Dinner = 11:30-23:00 L.O.22:30,Closed Monday and Tuesday in August,"Dinner menu = ¥1,500-4,000",n/a,06-6717-0094
Bib Gourmand,Oribe,"1F, Takara House Yotsubashi Bldg, 1-6-18 Shinmachi, Nishi-ku, Osaka",Dinner = 18:00-22:00 L.O.21:00,Closed Monday and 3rd Tuesday of the month,"Dinner = ¥4,000-6,000",http://o-ri-be.com/,06-6532-8266
Bib Gourmand,Sushidokoro Kaihara,"5-4 Ikedacho, Kita-ku, Osaka",Dinner = 17:00-22:00 (L.O.),Closed Wednesday,"Dinner = ¥4,000",n/a,06-6351-7080
Bib Gourmand,Sobakiri Karani,"2-11-26 Sagisu, Fukushima-ku, Osaka",Lunch = 11:00-14:00 or when the day’s stock runs outDinner = 17:00-20:30 or when the day's stock runs out,Closed Thursday and 4th Wednesday of the month,"Lunch = ¥1,000-3,000Dinner = ¥2,000-3,000",n/a,06-4796-2286
Bib Gourmand,Shinsaibashi Kawaguchi,"1F, Pithecanthropus Bldg, 1-19-11 Higashishinsaibashi, Chuo-ku, Osaka",Dinner = 17:00-24:00 L.O.23:00,Closed Monday,"Dinner = ¥4,000-6,000",n/a,06-6244-9489
Bib Gourmand,Kiji,"2F, Shinumeda Shokudogai, 9-20 Kakudacho, Kita-ku, Osaka",Lunch/Dinner = 11:30-21:30 (L.O.) or when the day's stock runs out,Closed Sunday,"Dinner menu = ¥1,000-2,000",n/a,06-6361-5804
Bib Gourmand,Edobori Kida,"1-23-31 Edobori, Nishi-ku, Osaka",Lunch = 11:00-16:30 (L.O.) or when the day's stock runs outSaturday 11:00-14:30 or when the day's stock runs out,Closed Sunday and Public Holidays,"Lunch = ¥1,000-2,000",http://www.hagakure.cc/NewFiles/kida.html,06-6441-1139
Bib Gourmand,Odento Sakana Sakamoto,"1F, Maruichi Bldg, 12-15 Toganocho, Kita-ku, Osaka",Dinner = 17:00-24:00 L.O.23:00,Closed Sunday,"Dinner = ¥1,500-3,000",n/a,06-6362-1213
Bib Gourmand,Kateiryori Joan,"2F, Eiraku Rinden Bldg, 1-5-26 Sonezakishinchi, Kita-ku, Osaka",Dinner = 17:30-22:30 (L.O.),"Closed Saturday, Sunday and Public Holidays","Dinner = ¥4,000-6,000",n/a,06-6345-5569
Bib Gourmand,Kansaidaki Honke Joyato,"2-8-14 Toyosaki, Kita-ku, Osaka","Lunch = Monday, Wednesday and Friday 11:30-13:30 or when the day's stock runs outDinner = 18:00-22:00 or when the day's stock runs out",Closed Sunday and Public Holidays,"Lunch = Under ¥1,500Dinner = ¥5,000",n/a,06-6371-1115
Bib Gourmand,Susa,"1-1-2 Kawarayamachi, Chuo-ku, Osaka",Dinner = 17:30-22:30 (L.O.),Closed Sunday and Public Holiday Mondays,"Dinner = ¥4,000-6,000",n/a,06-6761-5020
Bib Gourmand,Souikufu,"5-8-14 Toyosaki, Kita-ku, Osaka",Dinner = 18:00-22:00 (L.O.) or when the day's stock runs out,Closed Sunday and Public Holidays,"Dinner = ¥4,500-6,000",n/a,06-6373-0030
Bib Gourmand,Takuya,"2-5-37 Sonezaki, Kita-ku, Osaka",Dinner = 18:00-22:30 (L.O) or when the day's stock runs out,Closed Sunday and Public Holiday Mondays,"Dinner = ¥5,000-8,000",http://www.ohatsutenjintakuya.co.jp/,06-6361-1110
Bib Gourmand,Takotsubo,"1F, Kanemura Bldg, 2-4-48 Abenosuji, Abeno-ku, Osaka",Lunch/Dinner = 12:00-23:00 L.O.22:15Wednesday 17:00-23:00 L.O.22:15Thursday 18:30-23:00 L.O.22:15,n/a,"Dinner menu = ¥1,000-3,000",n/a,06-6629-2728
Bib Gourmand,Takotsubo,"1F, Kanemura Bldg, 2-4-48 Abenosuji, Abeno-ku, Osaka",Lunch/Dinner = 12:00-23:00 L.O.22:15Wednesday 17:00-23:00 L.O.22:15Thursday 18:30-23:00 L.O.22:15,n/a,"Dinner menu = ¥1,000-3,000",n/a,06-6629-2728
Bib Gourmand,Tamanegi,"1F, Matsutaka Bldg, 1-20-15 Shimmachi, Nishi-ku, Osaka",Lunch = 11:30-14:00 (L.O.)Dinner = 18:00-21:30 (L.O.),"Closed Tuesday (unless Public Holiday, then Wednesday)","Lunch = ¥2,000-6,000Dinner = ¥5,000-8,000",n/a,06-6536-0085
Bib Gourmand,Sushi Chiharu,"5-12-14 Fukushima, Fukushima-ku, Osaka","Lunch = 11:00-12:15, 12:30-14:00Dinner = 17:00-18:50, 19:00-20:50, 21:00-23:00",Closed Sunday and Public Holidays,"Lunch = ¥3,500Dinner = ¥4,500",http://sushi-chiharu.jp/,06-6450-8685
Bib Gourmand,Tsuru to Kame,"4-12-17 Nishitemma, Kita-ku, Osaka","Dinner = 17:00-18:45, 19:00-21:00",Closed Sunday and Public Holiday,"Dinner = ¥5,500",n/a,06-6365-8500
Bib Gourmand,Toriya En,"1-3-12 Higashimikuni, Yodogawa-ku, Osaka",Dinner = 18:00-24:00 L.O.23:00 or when the day's stock runs out,Closed Wednesday,"Dinner = ¥3,000-5,000",n/a,06-6391-2222
one star,Sosakuwasho Nakashima,"2-8-1 Fukushima, Fukushima-ku, Osaka",Dinner = 18:00-23:00 L.O.21:30,Closed Sunday and Public Holidays,"Dinner = ¥8,500-10,000",n/a,06-6147-6327
Bib Gourmand,Naniwa Okina,"4-1-18 Nishitemma, Kita-ku, Osaka",Lunch/Dinner = 11:30-20:00 L.O.19:30 or when the day's stock runs out,Closed Sunday and Monday except Public Holidays,"Lunch/Dinner = ¥1,000-2,000",http://www.naniwa-okina.co.jp/,06-6361-5457
Bib Gourmand,Banya Hana,"2-3-4 Kawaramachi, Chuo-ku, Osaka",Lunch = 11:30-14:00 (L.O.)Dinner = 16:30-23:00 (L.O.),n/a,"Lunch = Under ¥1,500Dinner = ¥4,000-5,000",n/a,06-6232-3768
Bib Gourmand,Ramen Hayato,"1-2-2 Minamimorimachi, Kita-ku, Osaka",Lunch = 11:00- or when the day's stock runs out,Closed Monday,"Lunch = ¥1,000-2,000",n/a,06-6312-8276
